Name,Phone,Address,Latitude,Longitude,Website,Place ID,Category
Nepal Ambulance Service,01-4427833,"Ghattekulo Marga, Kathmandu 44600, Nepal",27.7037636,85.32747839999999,http://nepalambulanceservice.org/,ChIJF23DFacZ6zkRpawYJANk6j0,Ambulance Service
24/7 Ambulance Sewa,984-9695085,"Dhumbarahi Chowk, Kathmandu 44600, Nepal",27.7317372,85.3443899,https://www.ambulancesewa.com/,ChIJ1xtHZMEI5CARni33bsw81iU,Ambulance Service
Nepal Ambulance Service,,"P75J+4RQ Nepal Ambulance Service, Kathmandu 44614, Nepal",27.7078255,85.28210589999999,http://www.ambulancesewa.com.np/,ChIJdUuUMIYY6zkR02aV9sayu3A,Ambulance Service
Ambulance service,984-0074297,"P8RQ+42C, Kathmandu 44600, Nepal",27.7395745,85.3370875,,ChIJq9_hcKoZ6zkRuhw5JYnCz-A,Ambulance Service
Nepal Ambulance Service,981-8088068,"maharajgunj dhara marga, Kathmandu 44600, Nepal",27.7363145,85.3329797,,ChIJjzMhmKgZ6zkRCm9I3LdTTOA,Ambulance Service
Air Ambulance Nepal,986-0555163,"M8XC+RMM, Kathmandu 44600, Nepal",27.6995824,85.321675,http://www.airambulancenepal.com/,ChIJu9j3ObIZ6zkRz0ntkRKmzxI,Ambulance Service
Paropakar Ambulance Service,01-4260859,"P823+R36, Paropakar Marg, Kathmandu 44600, Nepal",27.7020412,85.3026551,,ChIJHexyLVgY6zkR7twGtzbv-RA,Ambulance Service
Nava Jewan Ambulance Sewa,981-8461500,"Maharajgunj, Kathmandu 44600, Nepal",27.736962,85.33395519999999,,ChIJ2_P1Fl95-CcR_F6DbMXEA7U,Ambulance Service
Air Ambulance Aviation,,"P945+HC, Kathmandu 44600, Nepal",27.70645,85.3585974,http://www.airambulanceaviation.com/,ChIJZRovNBob6zkRCY6USQoRCDs,Ambulance Service
"Heli Ambulance: Emergency Helicopter Rescue Service, Nepal Heli Charter and Rescue",986-0939995,"Thamel, Kathmandu 44600, Nepal",27.7177075,85.31185690000001,https://heliambulance.com/,ChIJNX-ZY3sZ6zkRqTnMgCht5Mk,Ambulance Service
TU Teaching Hospital Emergency Ward,01-4412303,"Kathmandu 44600, Nepal",27.7353768,85.3310225,,ChIJGxsZNzkZ6zkR4fP6doMUQ1o,Ambulance Service
Nepal Red Cross Society Ganabahal Sub-Chapter,,"Hanumansthan Marg, Kathmandu 44600, Nepal",27.6996209,85.3090155,http://nrcsganabahal.blogspot.com/,ChIJ63bbBVQY6zkRkNGOdVICtFs,Ambulance Service
Civil Service Hospital of Nepal,01-4107000,"Minbhawan Marg, Kathmandu 44600, Nepal",27.6863031,85.3388038,https://csh.gov.np/en,ChIJn8GadpQZ6zkR7dsEu9rdFQ0,Ambulance Service
Shiva Shakti Sewa Samaaj,984-1325740,"Old Baneshwor, Kathmandu 44600, Nepal",27.7024224,85.3417261,https://www.facebook.com/shivashakti.sewasamaj/,ChIJUYDTLxUZ6zkRWdPiG7BtPFY,Ambulance Service
Gorkhali ambulance sewa,984-3389093,"Ring Rd, Kathmandu 46000, Nepal",27.7334698,85.34317349999999,,ChIJYw7ICJsZ6zkRqXBZN6HfTog,Ambulance Service
