Category,Name,Phone,Address,Latitude,Longitude,Website,Place ID
Hospitals,Nepal-Bharat Maitri Hospital,01-5241288,"Dakshina Murti Marga, Kathmandu 44600, Nepal",27.711635,85.3454864,https://nbmh.com.np/,ChIJB6FGQHoZ6zkRjI6BWHi9IKM
Hospitals,Medicare Hospital,01-5971606,"Chabahil, Kathmandu 44600, Nepal",27.7183619,85.3465045,http://medicarehosp.com/,ChIJo7VDyXoZ6zkRC6qOihCtfHs
Hospitals,Swacon International Hospital,01-4562960,"164 Rudra Mati Marg, Kathmandu 44600, Nepal",27.7041699,85.33640989999999,http://www.swaconhospital.com/,ChIJcfIrt58Z6zkRIdqnMnyiiKA
Hospitals,Om Hospital & Research Centre Pvt. Ltd.,01-4566178,"चाबहिल सडक, Kathmandu 44602, Nepal",27.7214203,85.3448044,https://omhospitalnepal.com/,ChIJ4RWYhmUZ6zkRhSuw7gimqGE
Hospitals,Civil Service Hospital of Nepal,01-4107000,"Minbhawan Marg, Kathmandu 44600, Nepal",27.6863031,85.3388038,https://csh.gov.np/en,ChIJn8GadpQZ6zkR7dsEu9rdFQ0
Hospitals,Vayodha Hospitals,01-5385280,"Balkhu, Kathmandu 44600, Nepal",27.6842083,85.2983287,http://vayodhahospitals.com/,ChIJay5xSg8Z6zkRNe3ZAWfAD44
Hospitals,CIWEC Hospital Pvt. Ltd.,01-4535232,"Kapurdhara Marg, Kathmandu 44600, Nepal",27.7204,85.317739,http://www.ciwechospital.com/,ChIJaVO1ZhwZ6zkRkhEtRp5q-FQ
Hospitals,Helping Hands Community Hospital,01-4596807,"Rishi Bhakta Marg, Kathmandu 44600, Nepal",27.7198912,85.3458058,http://www.helpinghandshospital.org.np/,ChIJk-2iyHoZ6zkRWtCoYc9tNak
Hospitals,Bir Hospital,01-4221119,"Mahaboudha, Kathmandu 44600, Nepal",27.7056125,85.3137698,https://birhospital.gov.np/,ChIJCyA3_P8Y6zkRvAaR6dNxxPw
Hospitals,Norvic International Hospital,01-5970032,"Thapathali, Kathmandu 44617, Nepal",27.68994,85.3189355,http://www.norvichospital.com/,ChIJmZNSY7EZ6zkRuQ-sNEd_LlI
Hospitals,Metro Kathmandu Hospital,01-4721515,"P8RQ+42C, Kathmandu 44600, Nepal",27.7394951,85.3372517,http://metrokathmanduhospital.com/,ChIJrc9CSkYZ6zkRXqfY6kZawbw
Hospitals,Grande International Hospital,01-5159266,"Tokha Rd, Kathmandu 44600, Nepal",27.752876,85.32588899999999,https://www.grandehospital.com/,ChIJ98DoN80e6zkRTRu-tHvRZ3o
Hospitals,HAMS Hospital,01-4377404,"Mandikhatar Road, Kathmandu 44600, Nepal",27.7333877,85.34633869999999,https://hamshospital.com/,ChIJRaf_Kb8Z6zkReRezznK3Sio
Hospitals,Everest Hospital Pvt. Ltd.,01-4793024,"Kathmandu 44600, Nepal",27.6884982,85.332863,http://everesthospital.org.np/,ChIJDfFD3r0Z6zkR2PBgtkGagps
Hospitals,Chirayu National Hospital & Medical Institute Pvt. Ltd.,01-5902888,"03 रिङ्ग रोड, Kathmandu 44600, Nepal",27.7412217,85.33401649999999,http://www.chirayuhospital.com.np/,ChIJ0Rju-TcZ6zkRFcCip5lPtTk
Hospitals,T.U. Teaching Hospital,01-4512505,"Maharajgunj Sadak, Kathmandu 44600, Nepal",27.7359917,85.3302595,https://tuth.org.np/,ChIJ19o9QzkZ6zkRJPwu2_pj3ns
Hospitals,Grande City Hospital Pvt. Ltd.,01-4163500,"Jyoti Bhawan, Kantipath Marg, Kathmandu 44600, Nepal",27.7111011,85.31480619999999,N/A,ChIJAaRp8wEZ6zkRovp1XQGfd3o
Hospitals,Inova Hospital,980-2348721,"P8GF+J76, लाजिम्पाट सडक, Kathmandu 44600, Nepal",27.7265035,85.3230791,https://inovahospital.com.np/,ChIJDx56a6cZ6zkRGeDf5Rl4aeI
Hospitals,ERA INTERNATIONAL HOSPITAL Pvt. Ltd.,970-9000012,"Pushpalal Path, Kathmandu 20206, Nepal",27.7193177,85.3091199,http://www.era-hospital.com/,ChIJFeOy-t8Z6zkRfyHpvhS4M1Q
Hospitals,Shreedhi International Hospital,01-4001785,"Pandol Marga, Kathmandu 44600, Nepal",27.7255557,85.3238566,https://www.shreedhihospital.com/,ChIJMyR8JRkZ6zkRgXYwDWvdha4
Hospitals,"B&B Hospital, Gwarko (Baidya & Banskota)",01-5970999,"Lalitpur 44700, Nepal",27.664921,85.3292584,https://www.bbhospital.com.np/,ChIJP2JIqbIZ6zkRl5dtCm4mb2Q
