Name,Phone,Address,Latitude,Longitude,Website,Place ID,Category
Nepal Police Headquarters,01-4411210,"Sama Marg, Kathmandu 44600, Nepal",27.716908,85.327915,https://www.nepalpolice.gov.np/,ChIJ6R4Vcw4Z6zkRvoCSGAF2f4E,Police Stations
Kathmandu Valley Police Office,01-4231466,"P848+PF7, Ratna Park Path, Kathmandu 44600, Nepal",27.706776,85.3161674,https://ktmvalley.nepalpolice.gov.np/,ChIJEdnxXwAZ6zkRSypQNue4Ivc,Police Stations
"Police Sector, Koteshwor",01-4600739,"Koteshwor Police Station, Chautarphi Marg, Kathmandu 44600, Nepal",27.6788038,85.3489879,http://www.nepalpolice.gov.np/,ChIJryStk_MZ6zkRB9HoXVhFL4M,Police Stations
Kathmandu Valley Police Special Security Battalion,01-4257682,"M8V7+4HP, Tripura Marg, Kathmandu 44600, Nepal",27.692847,85.313947,,ChIJ4XoKrrIZ6zkR1u5tfiP36QQ,Police Stations
Police Circle Lainchaur,985-1282799,"P895+8QH, Paknajol Marg, Kathmandu 44600, Nepal",27.7183162,85.309489,,ChIJmzpGaeMY6zkRCrdmXMKOmkw,Police Stations
"Police Circle, New Baneshwor",01-4111687,"M8PV+CJ8, Kathmandu 44600, Nepal",27.686032,85.34406249999999,,ChIJXR-WfJIZ6zkR3iXHqeG7wlo,Police Stations
Old Baneshwor Police Post,,"P82Q+V9J, Kathmandu 44600, Nepal",27.7022047,85.3383908,,ChIJVVWKFpwZ6zkRpPUCgDPMNao,Police Stations
Police Circle Jansewa,01-4222757,"P835+HW9, Kathmandu 44600, Nepal",27.7039003,85.3098452,,ChIJiavslFUY6zkRMjLgvAP97Pc,Police Stations
Thapathali Police Station,01-4260900,"44617, काठमाडौँ 44617, Nepal",27.6884348,85.31961799999999,https://www.nepalpolice.gov.np/,ChIJTWoWPLEZ6zkR7tdeXXJKbAE,Police Stations
Police Sector Kandaghari,985-1283340,"M9V9+W52, Kathmandu 44600, Nepal",27.6947549,85.36789240000002,https://www.nepalpolice.gov.np/,ChIJKxFzYzga6zkRKNl0FjENiIY,Police Stations
Police Beat Bafal Kathmandu,01-4282100,"M7XM+HHQ, Gyanodaya Marg, Kathmandu 44600, Nepal",27.698972,85.28399979999999,,ChIJj7rJZ2MY6zkRJI4EWbOjyZU,Police Stations
Police Sector Mangalbazar,,"M8CG+P8X, Lalitpur 44600, Nepal",27.6718737,85.32587319999999,,ChIJ-zNzbMUZ6zkRYmMBY6tD21I,Police Stations
Metropolitan Police Station,,"Shriganesh Marg, Kathmandu 44600, Nepal",27.6860086,85.3440376,,ChIJl2qpZJIZ6zkRENLWApfN1zk,Police Stations
Metropolitan Police Witt,01-4270536,"M8W5+872, Milan Marg, Kathmandu 44600, Nepal",27.695751,85.308155,,ChIJTd-bhlEY6zkR6OqLUnXShek,Police Stations
Koteshwor Police Sub-Station,,"M8GQ+C58, Kathmandu 44600, Nepal",27.6760371,85.3379677,,ChIJCyUvZukZ6zkRqaPzHckbgvM,Police Stations
Traffic Police Durbar Marg,985-1281344,"P879+46R, दरबार मार्ग सडक, Kathmandu 44600, Nepal",27.7128566,85.3180151,https://traffic.nepalpolice.gov.np/,ChIJfxIYkgMZ6zkRDxT0HNKwkiE,Police Stations
"Police Sector, Imadol",,"1 Imadol Krishna Mandir Rd, 44600, Nepal",27.6595001,85.3438094,http://www.nepalpolice.gov.np/,ChIJzbUZnuIZ6zkRuqnEe6Ne8Og,Police Stations
Traffic Police Office Swayambhu,01-4219641,"P77V+84C, Swayambhu Cir Rd, Kathmandu 44600, Nepal",27.7133141,85.29275319999999,https://traffic.nepalpolice.gov.np/,ChIJ89rFsvIY6zkR-ye0iNKlQMM,Police Stations
Temporary Police Bit,,"M8WJ+9J3, Narayaneshwor Marg, Kathmandu 44600, Nepal",27.6958911,85.3315561,,ChIJ8YMhHKMZ6zkR6sDMgZzwiRo,Police Stations
